,method1,method2,metric,value,dataName
61,infomap,multilevel,nmi,0.7734033660754475,Bsubtilis
62,infomap,multilevel,split-join,92.0,Bsubtilis
63,infomap,multilevel,rand,0.9341219882787064,Bsubtilis
64,infomap,multilevel,adjusted_rand,0.6555479423228234,Bsubtilis
65,infomap,multilevel,vi,0.9194967951292998,Bsubtilis
66,infomap,multilevel,nmi,0.7904841676946702,Bsubtilis
67,infomap,multilevel,split-join,118.0,Bsubtilis
68,infomap,multilevel,rand,0.9036249186021271,Bsubtilis
69,infomap,multilevel,adjusted_rand,0.719293802218313,Bsubtilis
70,infomap,multilevel,vi,0.955601319053593,Bsubtilis
71,infomap,multilevel,nmi,0.8166498575570991,Bsubtilis
72,infomap,multilevel,split-join,94.0,Bsubtilis
73,infomap,multilevel,rand,0.9182765357065334,Bsubtilis
74,infomap,multilevel,adjusted_rand,0.7188088150534543,Bsubtilis
75,infomap,multilevel,vi,0.8905331905549962,Bsubtilis
76,infomap,multilevel,nmi,0.7944500520504294,Bsubtilis
78,infomap,multilevel,rand,0.9229162144562622,Bsubtilis
79,infomap,multilevel,adjusted_rand,0.733427021965174,Bsubtilis
80,infomap,multilevel,vi,0.9427993130195089,Bsubtilis
81,infomap,multilevel,nmi,0.7860664407944838,Bsubtilis
83,infomap,multilevel,rand,0.931517256349034,Bsubtilis
84,infomap,multilevel,adjusted_rand,0.6902178565268151,Bsubtilis
85,infomap,multilevel,vi,1.018271464418142,Bsubtilis
86,infomap,multilevel,nmi,0.8048952094689046,Bsubtilis
88,infomap,multilevel,rand,0.9435641415237681,Bsubtilis
89,infomap,multilevel,adjusted_rand,0.6959268478059578,Bsubtilis
0,infomap,multilevel,vi,0.7932381252449425,Iceland
1,infomap,multilevel,nmi,0.77672396749662,Iceland
2,infomap,multilevel,split-join,4.0,Iceland
3,infomap,multilevel,rand,0.984622342831298,Iceland
4,infomap,multilevel,adjusted_rand,0.9467582854204645,Iceland
5,infomap,multilevel,vi,0.8499680165415682,Iceland
6,infomap,multilevel,nmi,0.7467501391868121,Iceland
7,infomap,multilevel,split-join,27.0,Iceland
9,infomap,multilevel,adjusted_rand,0.921703360912448,Iceland
10,infomap,multilevel,vi,0.8564778892364502,Iceland
11,infomap,multilevel,nmi,0.9246203026591252,Iceland
12,infomap,multilevel,split-join,8.0,Iceland
13,infomap,multilevel,rand,0.9728629579375848,Iceland
14,infomap,multilevel,adjusted_rand,0.9194020559584094,Iceland
15,infomap,multilevel,vi,0.6909502043266125,Iceland
17,infomap,multilevel,split-join,22.0,Iceland
18,infomap,multilevel,rand,0.9773857982813207,Iceland
19,infomap,multilevel,adjusted_rand,0.8424324832811672,Iceland
20,infomap,multilevel,vi,0.1715598532658329,Iceland
21,infomap,multilevel,nmi,0.9348309466071122,Iceland
22,infomap,multilevel,split-join,6.0,Iceland
23,infomap,multilevel,rand,0.9701492537313434,Iceland
25,infomap,multilevel,vi,0.22161894824556816,Iceland
28,infomap,multilevel,rand,0.8778833107191317,Iceland
29,infomap,multilevel,adjusted_rand,0.6448391441098392,Iceland
30,infomap,multilevel,vi,0.17420485866211344,Iceland
31,infomap,multilevel,nmi,0.9512502721595923,Iceland
34,infomap,multilevel,adjusted_rand,0.5643981901175303,Iceland
35,infomap,multilevel,vi,0.32223410707387545,Iceland
36,infomap,multilevel,nmi,0.770860481865825,Iceland
37,infomap,multilevel,split-join,14.0,Iceland
41,infomap,multilevel,nmi,0.7860361869343687,Iceland
42,infomap,multilevel,split-join,10.0,Iceland
44,infomap,multilevel,adjusted_rand,0.6331380066195667,Iceland
47,infomap,multilevel,split-join,24.0,Iceland
50,infomap,multilevel,vi,0.42153235401069633,Iceland
54,infomap,multilevel,adjusted_rand,0.908076465745907,Iceland
56,infomap,multilevel,nmi,0.7251017449469935,Iceland
58,infomap,multilevel,rand,0.8968792401628222,Iceland
60,infomap,multilevel,vi,0.2708581002026538,Iceland
61,infomap,multilevel,nmi,0.8052276482137354,Iceland
63,infomap,multilevel,rand,0.8950701040253278,Iceland
70,infomap,multilevel,vi,0.4740574022848305,Iceland
71,infomap,multilevel,nmi,0.8962265366727609,Iceland
74,infomap,multilevel,adjusted_rand,0.5947382570018088,Iceland
76,infomap,multilevel,nmi,0.9354814768322068,Iceland
78,infomap,multilevel,rand,0.8561736770691994,Iceland
82,infomap,multilevel,split-join,29.0,Iceland
83,infomap,multilevel,rand,0.9656264133876072,Iceland
85,infomap,multilevel,vi,0.8432972202246782,Iceland
91,infomap,multilevel,nmi,0.904339612600459,Iceland
93,infomap,multilevel,rand,0.9068294889190412,Iceland
97,infomap,multilevel,split-join,18.0,Iceland
103,infomap,multilevel,rand,0.95838986883763,Iceland
104,infomap,multilevel,adjusted_rand,0.6098291358184349,Iceland
105,infomap,multilevel,vi,0.7726680490179025,Iceland
106,infomap,multilevel,nmi,0.8304807921384364,Iceland
110,infomap,multilevel,vi,0.2652759387161989,Iceland
115,infomap,multilevel,vi,0.0,Iceland
119,infomap,multilevel,adjusted_rand,0.6699349531279896,Iceland
120,infomap,multilevel,vi,0.2282897445624581,Iceland
124,infomap,multilevel,adjusted_rand,0.6367488743826629,Iceland
125,infomap,multilevel,vi,0.3153350336959351,Iceland
126,infomap,multilevel,nmi,0.8031026236342639,Iceland
132,infomap,multilevel,split-join,12.0,Iceland
134,infomap,multilevel,adjusted_rand,0.8341040576562339,Iceland
136,infomap,multilevel,nmi,0.8653963774156602,Iceland
142,infomap,multilevel,split-join,25.0,Iceland
144,infomap,multilevel,adjusted_rand,0.5525360884194195,Iceland
148,infomap,multilevel,rand,0.885119855269109,Iceland
155,infomap,multilevel,vi,0.2845862090051021,Iceland
158,infomap,multilevel,rand,0.9764812302125734,Iceland
168,infomap,multilevel,rand,1.0,Iceland
169,infomap,multilevel,adjusted_rand,0.6083858657585195,Iceland
183,infomap,multilevel,rand,0.9629127091813661,Iceland
187,infomap,multilevel,split-join,31.0,Iceland
188,infomap,multilevel,rand,0.864314789687924,Iceland
193,infomap,multilevel,rand,0.9601990049751243,Iceland
196,infomap,multilevel,nmi,0.9504086874026074,Iceland
0,infomap,multilevel,vi,0.46411494245917106,Zebra
1,infomap,multilevel,nmi,0.7457356098144086,Zebra
2,infomap,multilevel,split-join,4.0,Zebra
3,infomap,multilevel,rand,0.9051383399209485,Zebra
4,infomap,multilevel,adjusted_rand,0.808054624770816,Zebra
0,infomap,multilevel,vi,0.4084693994266817,Dolphins
1,infomap,multilevel,nmi,0.8165639977360766,Dolphins
2,infomap,multilevel,split-join,10.0,Dolphins
3,infomap,multilevel,rand,0.9386567953463777,Dolphins
4,infomap,multilevel,adjusted_rand,0.650320244187694,Dolphins
5,infomap,multilevel,vi,0.47328358620356425,Dolphins
6,infomap,multilevel,nmi,0.9114029260932063,Dolphins
7,infomap,multilevel,split-join,4.0,Dolphins
9,infomap,multilevel,adjusted_rand,0.9108592567143788,Dolphins
10,infomap,multilevel,vi,0.6670198417773396,Dolphins
11,infomap,multilevel,nmi,0.8818064122723202,Dolphins
12,infomap,multilevel,split-join,19.0,Dolphins
13,infomap,multilevel,rand,0.9566367001586463,Dolphins
14,infomap,multilevel,adjusted_rand,0.9258969674690096,Dolphins
15,infomap,multilevel,vi,0.28303214491165196,Dolphins
16,infomap,multilevel,nmi,0.9090402368868528,Dolphins
17,infomap,multilevel,split-join,12.0,Dolphins
18,infomap,multilevel,rand,0.9386567953463775,Dolphins
19,infomap,multilevel,adjusted_rand,0.8321191847755989,Dolphins
20,infomap,multilevel,vi,0.40470550706841824,Dolphins
21,infomap,multilevel,nmi,0.7291329096068688,Dolphins
22,infomap,multilevel,split-join,14.0,Dolphins
23,infomap,multilevel,rand,0.9518773135906929,Dolphins
24,infomap,multilevel,adjusted_rand,0.8586781291550226,Dolphins
25,infomap,multilevel,vi,0.6401306924514412,Dolphins
26,infomap,multilevel,nmi,0.8422826583182079,Dolphins
29,infomap,multilevel,adjusted_rand,0.7970285688653358,Dolphins
30,infomap,multilevel,vi,0.5059793413454274,Dolphins
33,infomap,multilevel,rand,0.9735589635113696,Dolphins
34,infomap,multilevel,adjusted_rand,0.8457457176394014,Dolphins
35,infomap,multilevel,vi,0.4454976713337029,Dolphins
36,infomap,multilevel,nmi,0.8727279607657477,Dolphins
38,infomap,multilevel,rand,0.9217345319936542,Dolphins
40,infomap,multilevel,vi,0.26733100170961466,Dolphins
41,infomap,multilevel,nmi,0.8777108258434729,Dolphins
42,infomap,multilevel,split-join,8.0,Dolphins
43,infomap,multilevel,rand,0.8778424114225277,Dolphins
44,infomap,multilevel,adjusted_rand,0.8729914045465643,Dolphins
45,infomap,multilevel,vi,0.3647837352329195,Dolphins
47,infomap,multilevel,split-join,16.0,Dolphins
48,infomap,multilevel,rand,0.930195663670016,Dolphins
49,infomap,multilevel,adjusted_rand,0.871184089522754,Dolphins
50,infomap,multilevel,vi,0.5424687206980026,Dolphins
53,infomap,multilevel,rand,0.9000528820729774,Dolphins
