,method1,method2,metric,value,dataName
67,infomap,multilevel,split-join,114.0,Bsubtilis
68,infomap,multilevel,rand,0.916811373996093,Bsubtilis
69,infomap,multilevel,adjusted_rand,0.737902026716187,Bsubtilis
70,infomap,multilevel,vi,1.0027091752194393,Bsubtilis
71,infomap,multilevel,nmi,0.8114914892943399,Bsubtilis
73,infomap,multilevel,rand,0.9459789450835685,Bsubtilis
74,infomap,multilevel,adjusted_rand,0.7102993124534994,Bsubtilis
75,infomap,multilevel,vi,1.128287207022041,Bsubtilis
76,infomap,multilevel,nmi,0.7955610973108184,Bsubtilis
77,infomap,multilevel,split-join,116.0,Bsubtilis
78,infomap,multilevel,rand,0.9285055350553506,Bsubtilis
79,infomap,multilevel,adjusted_rand,0.744190439437015,Bsubtilis
80,infomap,multilevel,vi,0.8956936232412809,Bsubtilis
81,infomap,multilevel,nmi,0.8017191540720862,Bsubtilis
83,infomap,multilevel,rand,0.9238115910570871,Bsubtilis
84,infomap,multilevel,adjusted_rand,0.7047488630274751,Bsubtilis
85,infomap,multilevel,vi,1.187742348753086,Bsubtilis
86,infomap,multilevel,nmi,0.8138383855056637,Bsubtilis
87,infomap,multilevel,split-join,121.0,Bsubtilis
88,infomap,multilevel,rand,0.9344204471456479,Bsubtilis
89,infomap,multilevel,adjusted_rand,0.7102512426311315,Bsubtilis
0,infomap,multilevel,vi,0.8227271439976382,Iceland
1,infomap,multilevel,nmi,0.8052276482137354,Iceland
2,infomap,multilevel,split-join,4.0,Iceland
3,infomap,multilevel,rand,0.984622342831298,Iceland
4,infomap,multilevel,adjusted_rand,0.8341040576562339,Iceland
5,infomap,multilevel,vi,0.8432972202246782,Iceland
7,infomap,multilevel,split-join,22.0,Iceland
8,infomap,multilevel,rand,0.9068294889190412,Iceland
9,infomap,multilevel,adjusted_rand,0.921703360912448,Iceland
10,infomap,multilevel,vi,0.1715598532658329,Iceland
11,infomap,multilevel,nmi,0.9720760064801769,Iceland
13,infomap,multilevel,rand,0.9601990049751243,Iceland
14,infomap,multilevel,adjusted_rand,0.8694619552528399,Iceland
15,infomap,multilevel,vi,0.2652759387161989,Iceland
16,infomap,multilevel,nmi,0.9512502721595923,Iceland
17,infomap,multilevel,split-join,6.0,Iceland
18,infomap,multilevel,rand,0.9045680687471731,Iceland
19,infomap,multilevel,adjusted_rand,0.9467582854204645,Iceland
20,infomap,multilevel,vi,0.8564778892364502,Iceland
24,infomap,multilevel,adjusted_rand,0.8835635232781481,Iceland
25,infomap,multilevel,vi,0.2845862090051021,Iceland
38,infomap,multilevel,rand,0.8968792401628222,Iceland
39,infomap,multilevel,adjusted_rand,0.5584323249107277,Iceland
41,infomap,multilevel,nmi,0.8923352427801546,Iceland
42,infomap,multilevel,split-join,8.0,Iceland
44,infomap,multilevel,adjusted_rand,0.9726899550253688,Iceland
54,infomap,multilevel,adjusted_rand,0.5947382570018088,Iceland
55,infomap,multilevel,vi,0.2282897445624581,Iceland
56,infomap,multilevel,nmi,0.9354814768322068,Iceland
57,infomap,multilevel,split-join,28.0,Iceland
59,infomap,multilevel,adjusted_rand,0.908076465745907,Iceland
61,infomap,multilevel,nmi,0.77672396749662,Iceland
65,infomap,multilevel,vi,0.22161894824556816,Iceland
66,infomap,multilevel,nmi,0.7467501391868121,Iceland
72,infomap,multilevel,split-join,12.0,Iceland
73,infomap,multilevel,rand,0.9773857982813207,Iceland
76,infomap,multilevel,nmi,0.919006821925958,Iceland
78,infomap,multilevel,rand,0.8778833107191317,Iceland
79,infomap,multilevel,adjusted_rand,0.8454761593936301,Iceland
81,infomap,multilevel,nmi,0.8962265366727609,Iceland
84,infomap,multilevel,adjusted_rand,0.6699349531279896,Iceland
89,infomap,multilevel,adjusted_rand,1.0,Iceland
90,infomap,multilevel,vi,0.7932381252449425,Iceland
91,infomap,multilevel,nmi,0.7528526843304624,Iceland
94,infomap,multilevel,adjusted_rand,0.6588827079094215,Iceland
96,infomap,multilevel,nmi,0.870574973282162,Iceland
99,infomap,multilevel,adjusted_rand,0.6007067338798552,Iceland
100,infomap,multilevel,vi,0.6909502043266125,Iceland
106,infomap,multilevel,nmi,0.7497645393291223,Iceland
107,infomap,multilevel,split-join,27.0,Iceland
109,infomap,multilevel,adjusted_rand,0.5230647309828224,Iceland
113,infomap,multilevel,rand,0.9728629579375848,Iceland
114,infomap,multilevel,adjusted_rand,0.6331380066195667,Iceland
118,infomap,multilevel,rand,0.8647670737222976,Iceland
120,infomap,multilevel,vi,0.32223410707387545,Iceland
131,infomap,multilevel,nmi,0.904339612600459,Iceland
135,infomap,multilevel,vi,0.6007664837100211,Iceland
137,infomap,multilevel,split-join,20.0,Iceland
139,infomap,multilevel,adjusted_rand,0.8581892349530514,Iceland
140,infomap,multilevel,vi,0.3153350336959351,Iceland
143,infomap,multilevel,rand,0.9656264133876072,Iceland
147,infomap,multilevel,split-join,18.0,Iceland
152,infomap,multilevel,split-join,29.0,Iceland
159,infomap,multilevel,adjusted_rand,0.8598726114649681,Iceland
164,infomap,multilevel,adjusted_rand,0.6314807729098915,Iceland
177,infomap,multilevel,split-join,10.0,Iceland
186,infomap,multilevel,nmi,0.9348309466071122,Iceland
191,infomap,multilevel,nmi,0.9024208649213099,Iceland
193,infomap,multilevel,rand,0.9520578923563998,Iceland
194,infomap,multilevel,adjusted_rand,0.8972835314091686,Iceland
198,infomap,multilevel,rand,0.9629127091813661,Iceland
0,infomap,multilevel,vi,0.46411494245917106,Zebra
1,infomap,multilevel,nmi,0.7457356098144086,Zebra
2,infomap,multilevel,split-join,4.0,Zebra
3,infomap,multilevel,rand,0.9051383399209485,Zebra
4,infomap,multilevel,adjusted_rand,0.808054624770816,Zebra
0,infomap,multilevel,vi,0.3686048359866243,Dolphins
1,infomap,multilevel,nmi,0.7908566338289987,Dolphins
2,infomap,multilevel,split-join,4.0,Dolphins
3,infomap,multilevel,rand,0.9566367001586463,Dolphins
4,infomap,multilevel,adjusted_rand,0.9258969674690096,Dolphins
5,infomap,multilevel,vi,0.4454976713337029,Dolphins
6,infomap,multilevel,nmi,0.8777108258434729,Dolphins
7,infomap,multilevel,split-join,6.0,Dolphins
8,infomap,multilevel,rand,0.9518773135906929,Dolphins
9,infomap,multilevel,adjusted_rand,0.7997782907855923,Dolphins
10,infomap,multilevel,vi,0.2713548540600783,Dolphins
11,infomap,multilevel,nmi,0.8818064122723202,Dolphins
12,infomap,multilevel,split-join,12.0,Dolphins
13,infomap,multilevel,rand,0.9735589635113696,Dolphins
14,infomap,multilevel,adjusted_rand,0.8063471548332878,Dolphins
15,infomap,multilevel,vi,0.6667182872214732,Dolphins
16,infomap,multilevel,nmi,0.7291329096068688,Dolphins
17,infomap,multilevel,split-join,11.0,Dolphins
18,infomap,multilevel,rand,0.9338974087784242,Dolphins
19,infomap,multilevel,adjusted_rand,0.7164346501295912,Dolphins
21,infomap,multilevel,nmi,0.9114029260932063,Dolphins
24,infomap,multilevel,adjusted_rand,0.8586781291550226,Dolphins
26,infomap,multilevel,nmi,0.8165639977360766,Dolphins
28,infomap,multilevel,rand,0.9375991538868323,Dolphins
29,infomap,multilevel,adjusted_rand,0.8152471346677747,Dolphins
30,infomap,multilevel,vi,0.6813195782505743,Dolphins
31,infomap,multilevel,nmi,0.8084201355521954,Dolphins
33,infomap,multilevel,rand,0.9497620306716023,Dolphins
34,infomap,multilevel,adjusted_rand,0.9108592567143788,Dolphins
35,infomap,multilevel,vi,0.28303214491165196,Dolphins
36,infomap,multilevel,nmi,0.8490150748380615,Dolphins
38,infomap,multilevel,rand,0.9687995769434162,Dolphins
40,infomap,multilevel,vi,0.18175831063464232,Dolphins
41,infomap,multilevel,nmi,0.8535395342000681,Dolphins
45,infomap,multilevel,vi,0.34294424543376234,Dolphins
46,infomap,multilevel,nmi,0.8396902740389085,Dolphins
48,infomap,multilevel,rand,0.9756742464304602,Dolphins
50,infomap,multilevel,vi,0.5059793413454274,Dolphins
51,infomap,multilevel,nmi,0.9090402368868528,Dolphins
52,infomap,multilevel,split-join,10.0,Dolphins
58,infomap,multilevel,rand,0.9513484928609203,Dolphins
60,infomap,multilevel,vi,0.4084693994266817,Dolphins
61,infomap,multilevel,nmi,0.7943894920636251,Dolphins
63,infomap,multilevel,rand,0.9217345319936542,Dolphins
64,infomap,multilevel,adjusted_rand,0.7004363928636348,Dolphins
65,infomap,multilevel,vi,0.6071077412552288,Dolphins
68,infomap,multilevel,rand,0.9069275515600213,Dolphins
70,infomap,multilevel,vi,0.5642923189786622,Dolphins
71,infomap,multilevel,nmi,0.8929097575629296,Dolphins
74,infomap,multilevel,adjusted_rand,0.7611509759877652,Dolphins
75,infomap,multilevel,vi,0.40470550706841824,Dolphins
76,infomap,multilevel,nmi,0.8727279607657477,Dolphins
78,infomap,multilevel,rand,0.8831306187202539,Dolphins
81,infomap,multilevel,nmi,0.9396221068246445,Dolphins
82,infomap,multilevel,split-join,8.0,Dolphins
88,infomap,multilevel,rand,0.8826017979904813,Dolphins
89,infomap,multilevel,adjusted_rand,0.8274961271425113,Dolphins
